================================================================================
BOTANIK BOT - OTURUM LOGU
================================================================================
Oturum ID: 148
Grup: A
Başlangıç: 2025-12-01 14:25:42
================================================================================

[14:25:42.283] [INFO] Grup A için yeni oturum başlatıldı
[14:26:11.915] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:26:27.198] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:27:02.348] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:27:17.567] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:27:52.405] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:28:07.771] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:28:41.938] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:28:57.224] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:29:31.387] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:29:46.541] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:30:24.488] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:31:38.283] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:41:28.625] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:41:44.127] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:42:19.940] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:42:35.122] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:43:09.193] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:43:24.294] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:43:57.924] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:44:13.200] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:44:46.788] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:45:02.705] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
[14:45:36.394] [INFO] 🔵 Rapor toplama başlatılıyor (Reçete İşlem ekranındayken)...
[14:46:50.839] [WARNING] ⚠️ Rapor okuma başarısız (rapor butonu tıklanamadı)
